Ligand_name,Ligand_SMILES
L88,NCCCP(C1=CC=CC=C1)C2=CC=CC=C2
L89,CC(P(C1CCCCC1)C2CCCCC2)C3=CC=C[C-]3P(C4=CC=CC=C4)C5=CC=CC=C5.[CH-]6C=CC=C6.[Fe+2]
L90,CC(C)(C)P(C(C)(C)C)C(C)(C)C
L91,FC1=C(C(F)=C(C(F)=C1P(C2=C(F)C(F)=C(F)C(F)=C2F)C3=C(C(F)=C(C(F)=C3F)F)F)F)F
L92,CC12CC3(OC(CC(O1)(P3C4=CC=CC=C4)C)(O2)C)C
L93,CC(P(C1=CC=CC=C1)C2=CC=CC=C2)C(P(C3=CC=CC=C3)C4=CC=CC=C4)C
L94,CC(C)(P(C(C)(C)C)C1=CC=C(N(C)C)C=C1)C
L95,CC(C)(C)P(C(C)(C)C)C/C=C(C)/C
L96,FC1=C(F)C(F)=C(F)C(P(C2=CC=CC=C2)C3=CC=CC=C3)=C1F
L97,C/C(P(C1CCCCC1)C2CCCCC2)=C(C3=CC=CC=C3)\C4=CC=CC=C4
L98,O=S(C1=CC=CC(P(C2=CC=CC=C2)C3=CC=CC=C3)=C1)([O-])=O.[Na+]
L99,CC(P(C1=CC=C(N(C)C)C=C1)C2=CC=C(N(C)C)C=C2)CC(C)P(C3=CC=C(N(C)C)C=C3)C4=CC=C(N(C)C)C=C4
L100,CC(P(C1=CC(C)=CC(C)=C1)C2=CC(C)=CC(C)=C2)CC(C)P(C3=CC(C)=CC(C)=C3)C4=CC(C)=CC(C)=C4
L101,CCCCCCP(CCCCCC)CCCCCC
L102,CCCCCCCCP(CCCCCCCC)CCCCCCCC
