Entry,Ligand_SMILES,Substrate_SMILES,Yield
133,CC1=CC(P(C2=CC=CC(C)=C2)C3=CC=CC(C)=C3)=CC=C1,O=C(C1=CC=C(C=C1)OC)C2=CC=C(C=C2)OC,45
134,CC1=CC(P(C2=CC=CC(C)=C2)C3=CC=CC(C)=C3)=CC=C1,O=C(C1=CC=C(F)C=C1)C2=CC=C(F)C=C2,94
135,CC1=CC(P(C2=CC=CC(C)=C2)C3=CC=CC(C)=C3)=CC=C1,CC(C1=CC=CC=C1)=O,55
136,CC1=CC(P(C2=CC=CC(C)=C2)C3=CC=CC(C)=C3)=CC=C1,O=C(C1=CC=CC=C1)C(F)(F)F,89
137,CC1=CC(P(C2=CC=CC(C)=C2)C3=CC=CC(C)=C3)=CC=C1,O=C(C1CCCCC1)C2=CC=CC=C2,58
138,CC1=CC(P(C2=CC=CC(C)=C2)C3=CC=CC(C)=C3)=CC=C1,O=C1CCCC2=CC=CC=C21,34
139,CC1=CC(P(C2=CC=CC(C)=C2)C3=CC=CC(C)=C3)=CC=C1,O=C1CCC2=CC=CC=C2C1,95
140,CC1=CC(P(C2=CC=CC(C)=C2)C3=CC=CC(C)=C3)=CC=C1,O=C(C1CCCCC1)C2CCCCC2,6
141,CC(C=CC=C1)=C1P(C2=CC=CC=C2C)C3=C(C)C=CC=C3,O=C(C1=CC=CC=C1)C2=CC=CC=C2,4
142,CC(C=CC=C1)=C1P(C2=CC=CC=C2C)C3=C(C)C=CC=C3,O=C(C1=CC=C(C)C=C1)C2=CC=C(C)C=C2,2
143,CC(C=CC=C1)=C1P(C2=CC=CC=C2C)C3=C(C)C=CC=C3,O=C(C1=CC=C(C=C1)OC)C2=CC=C(C=C2)OC,0
144,CC(C=CC=C1)=C1P(C2=CC=CC=C2C)C3=C(C)C=CC=C3,O=C(C1=CC=C(F)C=C1)C2=CC=C(F)C=C2,0
145,CC(C=CC=C1)=C1P(C2=CC=CC=C2C)C3=C(C)C=CC=C3,CC(C1=CC=CC=C1)=O,0
146,CC(C=CC=C1)=C1P(C2=CC=CC=C2C)C3=C(C)C=CC=C3,O=C(C1=CC=CC=C1)C(F)(F)F,14
147,CC(C=CC=C1)=C1P(C2=CC=CC=C2C)C3=C(C)C=CC=C3,O=C(C1CCCCC1)C2=CC=CC=C2,1
148,CC(C=CC=C1)=C1P(C2=CC=CC=C2C)C3=C(C)C=CC=C3,O=C1CCCC2=CC=CC=C21,2
149,CC(C=CC=C1)=C1P(C2=CC=CC=C2C)C3=C(C)C=CC=C3,O=C1CCC2=CC=CC=C2C1,7
150,CC(C=CC=C1)=C1P(C2=CC=CC=C2C)C3=C(C)C=CC=C3,O=C(C1CCCCC1)C2CCCCC2,0
151,CC1=CC(C)=CC(P(C2=CC(C)=CC(C)=C2)C3=CC(C)=CC(C)=C3)=C1,O=C(C1=CC=CC=C1)C2=CC=CC=C2,97
152,CC1=CC(C)=CC(P(C2=CC(C)=CC(C)=C2)C3=CC(C)=CC(C)=C3)=C1,O=C(C1=CC=C(C)C=C1)C2=CC=C(C)C=C2,76
