Entry,Ligand_name,Ligand_No,Ligand_smiles,Substrate_name,Substrate_No,Substrate_smiles,Yield
44,dppbz,L5,C1(P(C2=CC=CC=C2)C3=CC=CC=C3)=CC=CC=C1P(C4=CC=CC=C4)C5=CC=CC=C5,acetophenone,1e,CC(C1=CC=CC=C1)=O,3
45,dppbz,L5,C1(P(C2=CC=CC=C2)C3=CC=CC=C3)=CC=CC=C1P(C4=CC=CC=C4)C5=CC=CC=C5,"2,2,2-trifluoroacetophenone",1f,O=C(C1=CC=CC=C1)C(F)(F)F,36
46,dppbz,L5,C1(P(C2=CC=CC=C2)C3=CC=CC=C3)=CC=CC=C1P(C4=CC=CC=C4)C5=CC=CC=C5,cyclohexyl_phenyl_ketone,1g,O=C(C1CCCCC1)C2=CC=CC=C2,2
47,dppbz,L5,C1(P(C2=CC=CC=C2)C3=CC=CC=C3)=CC=CC=C1P(C4=CC=CC=C4)C5=CC=CC=C5,alpha-tetralone,1h,O=C1CCCC2=CC=CC=C21,1
48,dppbz,L5,C1(P(C2=CC=CC=C2)C3=CC=CC=C3)=CC=CC=C1P(C4=CC=CC=C4)C5=CC=CC=C5,beta-tetralone,1i,O=C1CCC2=CC=CC=C2C1,12
49,dppbz,L5,C1(P(C2=CC=CC=C2)C3=CC=CC=C3)=CC=CC=C1P(C4=CC=CC=C4)C5=CC=CC=C5,dicyclohexyl_ketone,1j,O=C(C1CCCCC1)C2CCCCC2,0
50,"2,2'-bis(diphenylphosphino)biphenyl",L6,C1(C2=C(P(C3=CC=CC=C3)C4=CC=CC=C4)C=CC=C2)=C(P(C5=CC=CC=C5)C6=CC=CC=C6)C=CC=C1,benzophenone,1a,O=C(C1=CC=CC=C1)C2=CC=CC=C2,25
51,"2,2'-bis(diphenylphosphino)biphenyl",L6,C1(C2=C(P(C3=CC=CC=C3)C4=CC=CC=C4)C=CC=C2)=C(P(C5=CC=CC=C5)C6=CC=CC=C6)C=CC=C1,"4,4'-dimethylbenzophenone",1b,O=C(C1=CC=C(C)C=C1)C2=CC=C(C)C=C2,13
52,"2,2'-bis(diphenylphosphino)biphenyl",L6,C1(C2=C(P(C3=CC=CC=C3)C4=CC=CC=C4)C=CC=C2)=C(P(C5=CC=CC=C5)C6=CC=CC=C6)C=CC=C1,"4,4'-dimethoxybenzophenone",1c,O=C(C1=CC=C(C=C1)OC)C2=CC=C(C=C2)OC,10
53,"2,2'-bis(diphenylphosphino)biphenyl",L6,C1(C2=C(P(C3=CC=CC=C3)C4=CC=CC=C4)C=CC=C2)=C(P(C5=CC=CC=C5)C6=CC=CC=C6)C=CC=C1,"4,4'-difluorobenzophenone",1d,O=C(C1=CC=C(F)C=C1)C2=CC=C(F)C=C2,51
54,"2,2'-bis(diphenylphosphino)biphenyl",L6,C1(C2=C(P(C3=CC=CC=C3)C4=CC=CC=C4)C=CC=C2)=C(P(C5=CC=CC=C5)C6=CC=CC=C6)C=CC=C1,acetophenone,1e,CC(C1=CC=CC=C1)=O,21
55,"2,2'-bis(diphenylphosphino)biphenyl",L6,C1(C2=C(P(C3=CC=CC=C3)C4=CC=CC=C4)C=CC=C2)=C(P(C5=CC=CC=C5)C6=CC=CC=C6)C=CC=C1,"2,2,2-trifluoroacetophenone",1f,O=C(C1=CC=CC=C1)C(F)(F)F,96
56,"2,2'-bis(diphenylphosphino)biphenyl",L6,C1(C2=C(P(C3=CC=CC=C3)C4=CC=CC=C4)C=CC=C2)=C(P(C5=CC=CC=C5)C6=CC=CC=C6)C=CC=C1,cyclohexyl_phenyl_ketone,1g,O=C(C1CCCCC1)C2=CC=CC=C2,11
57,"2,2'-bis(diphenylphosphino)biphenyl",L6,C1(C2=C(P(C3=CC=CC=C3)C4=CC=CC=C4)C=CC=C2)=C(P(C5=CC=CC=C5)C6=CC=CC=C6)C=CC=C1,alpha-tetralone,1h,O=C1CCCC2=CC=CC=C21,13
58,"2,2'-bis(diphenylphosphino)biphenyl",L6,C1(C2=C(P(C3=CC=CC=C3)C4=CC=CC=C4)C=CC=C2)=C(P(C5=CC=CC=C5)C6=CC=CC=C6)C=CC=C1,beta-tetralone,1i,O=C1CCC2=CC=CC=C2C1,95
59,"2,2'-bis(diphenylphosphino)biphenyl",L6,C1(C2=C(P(C3=CC=CC=C3)C4=CC=CC=C4)C=CC=C2)=C(P(C5=CC=CC=C5)C6=CC=CC=C6)C=CC=C1,dicyclohexyl_ketone,1j,O=C(C1CCCCC1)C2CCCCC2,3
60,"1,8-bis(diphenylphosphino)naphthalene",L7,C12=CC=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C1C(P(C5=CC=CC=C5)C6=CC=CC=C6)=CC=C2,benzophenone,1a,O=C(C1=CC=CC=C1)C2=CC=CC=C2,31
61,"1,8-bis(diphenylphosphino)naphthalene",L7,C12=CC=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C1C(P(C5=CC=CC=C5)C6=CC=CC=C6)=CC=C2,"4,4'-dimethylbenzophenone",1b,O=C(C1=CC=C(C)C=C1)C2=CC=C(C)C=C2,6
62,"1,8-bis(diphenylphosphino)naphthalene",L7,C12=CC=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C1C(P(C5=CC=CC=C5)C6=CC=CC=C6)=CC=C2,"4,4'-dimethoxybenzophenone",1c,O=C(C1=CC=C(C=C1)OC)C2=CC=C(C=C2)OC,4
63,"1,8-bis(diphenylphosphino)naphthalene",L7,C12=CC=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C1C(P(C5=CC=CC=C5)C6=CC=CC=C6)=CC=C2,"4,4'-difluorobenzophenone",1d,O=C(C1=CC=C(F)C=C1)C2=CC=C(F)C=C2,17
64,"1,8-bis(diphenylphosphino)naphthalene",L7,C12=CC=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C1C(P(C5=CC=CC=C5)C6=CC=CC=C6)=CC=C2,acetophenone,1e,CC(C1=CC=CC=C1)=O,14
65,"1,8-bis(diphenylphosphino)naphthalene",L7,C12=CC=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C1C(P(C5=CC=CC=C5)C6=CC=CC=C6)=CC=C2,"2,2,2-trifluoroacetophenone",1f,O=C(C1=CC=CC=C1)C(F)(F)F,73
66,"1,8-bis(diphenylphosphino)naphthalene",L7,C12=CC=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C1C(P(C5=CC=CC=C5)C6=CC=CC=C6)=CC=C2,cyclohexyl_phenyl_ketone,1g,O=C(C1CCCCC1)C2=CC=CC=C2,5
67,"1,8-bis(diphenylphosphino)naphthalene",L7,C12=CC=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C1C(P(C5=CC=CC=C5)C6=CC=CC=C6)=CC=C2,alpha-tetralone,1h,O=C1CCCC2=CC=CC=C21,7
68,"1,8-bis(diphenylphosphino)naphthalene",L7,C12=CC=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C1C(P(C5=CC=CC=C5)C6=CC=CC=C6)=CC=C2,beta-tetralone,1i,O=C1CCC2=CC=CC=C2C1,36
69,"1,8-bis(diphenylphosphino)naphthalene",L7,C12=CC=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C1C(P(C5=CC=CC=C5)C6=CC=CC=C6)=CC=C2,dicyclohexyl_ketone,1j,O=C(C1CCCCC1)C2CCCCC2,0
70,bis[2-(diphenylphosphino)phenyl]_ether,L8,C1(OC2=CC=CC=C2P(C3=CC=CC=C3)C4=CC=CC=C4)=C(P(C5=CC=CC=C5)C6=CC=CC=C6)C=CC=C1,benzophenone,1a,O=C(C1=CC=CC=C1)C2=CC=CC=C2,99
71,bis[2-(diphenylphosphino)phenyl]_ether,L8,C1(OC2=CC=CC=C2P(C3=CC=CC=C3)C4=CC=CC=C4)=C(P(C5=CC=CC=C5)C6=CC=CC=C6)C=CC=C1,"4,4'-dimethylbenzophenone",1b,O=C(C1=CC=C(C)C=C1)C2=CC=C(C)C=C2,99
72,bis[2-(diphenylphosphino)phenyl]_ether,L8,C1(OC2=CC=CC=C2P(C3=CC=CC=C3)C4=CC=CC=C4)=C(P(C5=CC=CC=C5)C6=CC=CC=C6)C=CC=C1,"4,4'-dimethoxybenzophenone",1c,O=C(C1=CC=C(C=C1)OC)C2=CC=C(C=C2)OC,85
73,bis[2-(diphenylphosphino)phenyl]_ether,L8,C1(OC2=CC=CC=C2P(C3=CC=CC=C3)C4=CC=CC=C4)=C(P(C5=CC=CC=C5)C6=CC=CC=C6)C=CC=C1,"4,4'-difluorobenzophenone",1d,O=C(C1=CC=C(F)C=C1)C2=CC=C(F)C=C2,99
74,bis[2-(diphenylphosphino)phenyl]_ether,L8,C1(OC2=CC=CC=C2P(C3=CC=CC=C3)C4=CC=CC=C4)=C(P(C5=CC=CC=C5)C6=CC=CC=C6)C=CC=C1,acetophenone,1e,CC(C1=CC=CC=C1)=O,86
75,bis[2-(diphenylphosphino)phenyl]_ether,L8,C1(OC2=CC=CC=C2P(C3=CC=CC=C3)C4=CC=CC=C4)=C(P(C5=CC=CC=C5)C6=CC=CC=C6)C=CC=C1,"2,2,2-trifluoroacetophenone",1f,O=C(C1=CC=CC=C1)C(F)(F)F,91
76,bis[2-(diphenylphosphino)phenyl]_ether,L8,C1(OC2=CC=CC=C2P(C3=CC=CC=C3)C4=CC=CC=C4)=C(P(C5=CC=CC=C5)C6=CC=CC=C6)C=CC=C1,cyclohexyl_phenyl_ketone,1g,O=C(C1CCCCC1)C2=CC=CC=C2,98
77,bis[2-(diphenylphosphino)phenyl]_ether,L8,C1(OC2=CC=CC=C2P(C3=CC=CC=C3)C4=CC=CC=C4)=C(P(C5=CC=CC=C5)C6=CC=CC=C6)C=CC=C1,alpha-tetralone,1h,O=C1CCCC2=CC=CC=C21,39
78,bis[2-(diphenylphosphino)phenyl]_ether,L8,C1(OC2=CC=CC=C2P(C3=CC=CC=C3)C4=CC=CC=C4)=C(P(C5=CC=CC=C5)C6=CC=CC=C6)C=CC=C1,beta-tetralone,1i,O=C1CCC2=CC=CC=C2C1,94
79,bis[2-(diphenylphosphino)phenyl]_ether,L8,C1(OC2=CC=CC=C2P(C3=CC=CC=C3)C4=CC=CC=C4)=C(P(C5=CC=CC=C5)C6=CC=CC=C6)C=CC=C1,dicyclohexyl_ketone,1j,O=C(C1CCCCC1)C2CCCCC2,18
80,xantphos,L9,CC1(C)C2=CC=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7,benzophenone,1a,O=C(C1=CC=CC=C1)C2=CC=CC=C2,96
81,xantphos,L9,CC1(C)C2=CC=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7,"4,4'-dimethylbenzophenone",1b,O=C(C1=CC=C(C)C=C1)C2=CC=C(C)C=C2,99
82,xantphos,L9,CC1(C)C2=CC=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7,"4,4'-dimethoxybenzophenone",1c,O=C(C1=CC=C(C=C1)OC)C2=CC=C(C=C2)OC,88
